Date,RBS Id,TRAFFIC PS(DL+UL)(Gbits),HSDPA Data Volume,HSUPA Data Volume,Cell Traffic Volume DL Speech (Erlang),CS CSSR,CS DROP Rate,PS Call Setup SR,PS DROP Rate 2,Availability,Soft Handover,Irat CS Handover SR,IRAT PS 2,throughput
12/16/2021,0,74.39,66.74,7.65,156.83,99.69,0.77,95.94,1.72,100,99.86,93.94,100,755.79
12/17/2021,0,65.41,58.4,7.01,107.82,99.26,0.97,95.4,2.37,100,99.67,97.98,100,755.79
12/18/2021,0,65.67,58.93,6.74,94.38,99.26,1.09,94.97,3.03,100,99.57,96.43,0,755.79
12/19/2021,0,57.79,50.91,6.87,101.48,99.08,1.23,95.43,2.6,100,99.72,93.14,100,755.79
12/20/2021,0,79.74,70.04,9.69,163.22,99.65,0.76,95.16,1.61,100,99.86,94.23,66.67,755.79
12/21/2021,0,70.53,62.13,8.39,157.76,99.56,0.56,96.05,1.55,100,99.79,94.49,0,740.55
12/22/2021,0,89.15,78.33,10.82,142.73,99.54,0.68,94.94,1.76,100,99.85,96.54,0,815.16
12/23/2021,0,86.34,76.22,10.12,157.31,99.27,0.71,94.63,2.06,100,99.54,96.89,0,672.96
12/24/2021,0,66.24,58.16,8.07,147.24,99.36,3.93,95.59,2.61,93.75,99.63,94.68,100,696.83
12/25/2021,0,60.16,52.9,7.26,118.15,98.97,2.93,95.07,2.83,98.01,99.52,95.97,66.67,645.25
12/26/2021,0,61.63,54.18,7.46,92.98,99.14,3.44,95.36,3.75,97.34,99.62,94.97,50,639.02
12/27/2021,0,78.11,68.62,9.49,145.47,99.08,4.99,95.73,2.95,97.34,99.64,93.41,100,676.99
12/28/2021,0,73.59,64.15,9.44,141.3,99.35,4.94,95.32,3.12,97.26,99.66,98.03,0,622.14
12/29/2021,0,73.61,64.16,9.45,146.14,99.52,4.51,95.44,2.92,97.13,99.76,97.13,66.67,613.97
12/30/2021,0,73.55,64.24,9.31,157.74,99.15,4.97,95.79,3.07,97.32,99.57,96.54,66.67,655.86
12/31/2021,0,72.88,63.3,9.58,145.63,99.1,3.63,95.29,3.1,97.06,99.47,96.74,100,590.04
1/1/2022,0,68.8,59.75,9.05,98.97,99,3.71,95.4,3.64,96.73,99.51,94.93,100,634.37
2/1/2022,0,72,63.46,8.53,104.23,99.16,3.1,95.68,3.33,96.98,99.66,96.73,100,645.12
3/1/2022,0,78.47,67.75,10.72,143.81,99.38,3.2,95.64,2.09,98.51,99.62,92.79,33.33,766.14
4/1/2022,0,64.39,56.23,8.16,145.97,99.35,3.15,95.68,2.21,98.23,99.43,95.27,50,663.04
5/1/2022,0,62.62,54.87,7.75,163.13,99.42,2.87,96.03,2.06,98.75,99.78,95.46,100,653.31
